,id,genreId,gradeId,text
26,27,11,3,"Mandisa stopped running just in time. She swung out her left arm and caught the others as they ran up beside her. All of them were breathing hard. They had stopped right in front of a huge field of lasers. Thin beams of red light shot in every direction as far as the eye could see. 

“What is this place?” asked Fatima.

Mandisa looked around, trying to catch her breath. The room they were in was like a long, strange hallway. The ceiling was very low. All of the walls and floors were tiled with some smooth, shiny black material like glass. There was no way through the hall except to go through the lasers. She could hear the low buzzing hum they made.

Femi seemed to have noticed their problem too. “What do you think would happen if we touch them?” she said, looking at the red beams.

“Worst case they burn a hole through us.” Mandisa said. “Best case they set off some kind of alarm to tell everyone where we are. Either way I don’t want to find out.” But then Mandisa noticed a gap between the beams right in front of her. There was a narrow path through. She stepped into the gap and the others gasped. Now she could see other open paths through the lasers on either side of her. “It’s a maze,” she said.

“What?” said Fatima. “We can’t go through there! What if we choose the wrong way? We could be trapped!”

“We don’t have any choice,” Mandisa said. “They’re coming.”
"
27,28,5,3,"The sword glowed blue in the princess’ hand. She raised it high as the crowd loudly cheered.
"
28,29,8,3,"“Of course! Kiki’s dog was the cupcake thief all along!” Hurit said. “I wonder if this solves the mystery of the missing bacon too…”
"
29,30,10,3,"It was Li’s first time at summer camp, and so far it was okay - except for the bathroom. The bathroom wasn’t really a bathroom at all - it was an outhouse! You had to walk through the forest to get to it, and it was dark and smelly and full of spiders. Li’s least favorite time was when she had to go at night. The walk through the forest seemed twice as long. The outhouse was twice as dark. And at night, it probably even had twice as many spiders in it!

These were Li’s thoughts as she walked down the path her second night at camp. She was not looking forward to using the outhouse. And she was looking forward to it even less when she got there and heard a weird noise coming from inside. It sounded like a wailing ghost!

Li waited a bit, but she didn’t hear the noise again. Finally she decided she would just have to brave it. After all, it was already full of spiders. A ghost could hardly make it worse. Li took a deep breath (but not too deep, because of the smell) and opened the door.

Inside was a girl! Li looked carefully, but she didn’t seem to be a ghost. In fact, she looked like one of the girls in Li’s cabin. She also looked like she had been crying.

“I h-h-hate it here,” the girl said.

“I hate it in the outhouse too,” said Li. “But the cabin is much better.”

“No, I mean I hate it at camp!” the girl said. “I never make friends. There are so many other girls. I always feel like everyone is watching me and waiting for me to do something silly. This is the only place I feel safe.”

Li thought for a minute. “Would it help if we became friends?” she said. The girl looked at her. Then she sniffed and nodded.

“Okay. One one condition,” said Li. “I’m never hanging out in the outhouse again!”
"
30,31,3,3,"Did you know that the ancient Romans used to use human pee as mouthwash and laundry soap? Urine (a.k.a. pee), has ammonia in it which works well as a cleanser! But still– yuck!
"
31,32,11,3,"Noah closes the door to his room. But it isn’t a normal door, and it isn’t a normal room. Your door is probably rectangular and white. Noah’s door is round and silver and shiny. Your room might be filled with toys. Noah’s room is filled with beeping and flashing machines. This is because Noah is an alien! He lives on a spaceship. Once, Noah saw a picture of a room just like yours. He thought it looked pretty weird. “Where are the beeping machines?” he said. “Why is the door a rectangle?”
"
32,33,10,3,"The bush was rustling so much, it sounded as if a big bear was inside. Then a tiny white kitten came crawling out.
"
33,34,5,3,"In a far away land, in a far away time, there lived a proud old king. The king was <i>so</i> proud that he believed that he controlled the moon and the sun. He loved to shout about his powers from the castle’s tallest towers.

“The moon only shines because I make it so!” he cried to knights and servants. “The sun only rises each day on my orders!” 

People always nodded politely. It was not wise to argue with the king. Then, one day, a wandering jester came to the kingdom. Right away he heard the king’s bragging. It made him laugh. So, he went to the castle wall and called up to the king.

“If you can make the sun rise and the moon shine,” he yelled, “then why don’t you just prove it?”
"
34,35,11,3,"Alfy rolled his wheelchair into the middle of the hallway, blocking his big sister’s path. 

“Come on! Just hear me out,” he said.

Selena crossed her arms and looked at him. “Okay,” she sighed. “Tell me about this great invention of yours.”

Alfy grinned and spun his chair to face her. He spread out his arms on either side of him dramatically. “Rocks!” he cried. “I call it the If-Rocks-Could-Talk-Project!”

Selena raised her eyebrows. “Rocks?” she said. “Talking rocks? Alfy, I love you, but I think your head is full of rocks.”

“Just think about it!” he said. “Rocks are just about the oldest things on Earth. If we had some way of talking to them, imagine what they could tell us! They could tell us about the beginning of the planet! They could tell us about creatures we never even knew were real! They could tell us about the world’s most ancient people and how they lived! They could tell us everything!”

Selena looked interested now. “I guess it’s not a totally wacko idea,” she said. “But still, rocks aren’t alive, Alfy! They can’t even talk to each other, let alone us. There’s no way you’ve made a gadget that can do that.”

Alfy’s eyes twinkled with excitement. “But I have!” he said. “Or, at least I’m pretty sure that I have. I really really think my invention is going to work. I just need your help to test it!”
"
35,36,5,3,"Once upon a time, there was a man who felt too small. Oddly, he was already over 76 feet tall! 
"
36,37,8,3,"“Or maybe the butler did it!” Inspector Singh cried. The butler stopped in his tracks, dropped the tea tray, and ran from the room.
"
37,38,7,3,"When they looked behind them, the tall, dark figure was closer than ever. They started to run.
"
38,39,11,3,"Simon stared at the alien that sat on the metal table in the lab. It looked like an upside down jujube with a mouth. It didn’t have any eyes, but it’s wide mouth was smiling. It jiggled happily back and forth making odd squeaks. 

Professor Dinkluss looked at the strange creature and scratched his chin. “Well, I’ve done some tests,” he said. “And a few things are clear now.” He waved at Simon to come closer.

“I...think I’m okay back here for now. Thanks,” said Simon. 

“Suit yourself,” said the professor. He went on. “The first thing was to find out what it eats. That was not as easy as it might sound.”

“Picky eater, huh?” Simon said. 

“Exactly,” replied the professor. “I tried feeding it meat: steak, jerky, ham, spam, burgers, sushi. Nothing. No interest. Then I tried vegetables and fruits: broccoli, sprouts, raspberries, bananas. It sucked on a turnip for a while, but then spit it out. I tried blue cheese, and cotton candy, fried eggs, and chewing gum. I tried grass and tree bark and metal nails and nail polish. None of it was any good.” He smiled. “But then I finally figured it out.”

“So, what does it eat then?” Simon asked.

“Sunlight.” the professor said simply.

“Sunlight? How is that possible? No creature can <i>eat</i> sunlight!” Simon said.

“Oh no?” said the professor, curling an eyebrow. “Can’t you think of some living creatures on our own planet who do just that? Who use sunlight as their main source of energy to grow?”

Simon frowned, thinking. Then with a jolt, he realized. 

“Plants!” he cried. “Plants are sunlight eaters too!”
"
39,40,8,3,"“This room hasn’t been unlocked in 25 years,” Imogen said, turning the key. Dev went in and sat in an armchair. It was warm.
"
40,41,8,3,"“But why did you want to ruin the school play in the first place?” asked Principal Primbus.

“Because I should have been the star!” Tracey shouted. “Those kids got all the limelight, so I gave them a whole bunch of limes, too!”
"
41,42,8,3,"“I knew it! I always knew that Janitor Jackson was the culprit!” Stephen yelled excitedly. 

Wanda rolled her eyes. “If you knew it was her this whole time, you sure kept it to yourself,” she said.
"
42,43,4,3,"There was a prince from a different land in Tyrell’s bedroom, and the prince was not happy. “I am a prince!” he yelled. “I command you to bring me all the best things!” 

Tyrell looked nervously at the door. What if someone heard? He didn’t know how he’d explain the magical portal the prince came through, or the other lands, or the prince himself, who had sparkly skin and purple hair. 

“Shhh,” Tyrell said. He sat the prince on his fluffiest pillow. 

“You expect a prince to sit on a pillow?” the prince yelled. “In my land, princes only sit on the floor!” He sat down on the floor. 

“Okay, okay,” Tyrell said. He snuck out, and brought back the prince some juice in his mom’s fanciest cup. 

“NO!” the prince screeched. Tyrell stopped him from throwing the cup at the last minute. “In my land, princes only drink water! Out of dirty tin cans!” 

This land sure sounds weird, Tyrell thought. He looked around, trying to find something the prince would like. In the corner were his oldest, smelliest socks. They had holes in them. They were grey. And they smelled really bad. He handed them to the prince. The prince took a long sniff of the socks. Slowly, he pulled them onto his purple feet. Tyrell watched nervously. Then, “These...are...AMAZING!” screamed the prince. It seemed he had got what he wanted: the portal opened up again behind him, and he jumped through. Tyrell got one last whiff of the socks, and then the prince was gone.
"
43,44,4,3,"Luis looked around. He saw ogres, giants, elves, fairies, and a dragon - but not his best friend Davy.
"
44,45,5,4,"Once upon a time, there was a town where no one ever made a sound. Until the day the musician came. 
"
45,46,4,4,"The tooth fairy sighed. She still had more than sixty teeth to collect, and it was already past midnight. She flapped her tiny, tired wings and flew across the quiet streets. On one side she carried a bag full of coins. On the other was her bag full of baby teeth. The bags brushed the windowsill as she flew into the next child’s bedroom.

But what she saw inside made her stop suddenly in mid-air. What was this? There was already someone pulling a tooth out from under this child’s pillow! It couldn’t be another fairy - they had no interest in teeth. That was her job! She flew closer.

It was a little brown mouse. As she watched, it pulled a coin out of its mouse-sized backpack and pushed the money under the pillow. Then it carefully put the tooth in the backpack and zipped it up.

The tooth fairy couldn’t stand it anymore. She was supposed to be collecting that tooth! “What are you doing?” she said, in a whisper that was more of a shout.

The mouse looked up. “Oh, I’m sorry, are you here for the tooth?” it said. “You see, I’m the French tooth fairy. And this child is French. So this is actually <i>my</i> job.”

“But...but this is my area! I’m supposed to collect that tooth!” the tooth fairy said. She flew slowly down to the bed beside the child’s pillow.

The mouse shrugged its tiny mouse shoulders. “But this is a French tooth,” it said.

The tooth fairy couldn’t think of anything to say to that. The two small tooth fairies stared at each other. Then the child turned over in its sleep and broke the spell. The mouse ran smoothly up the desk to the window. The fairy flew up after it. They both stood on the windowsill for a moment, looking out at the moonlit night.

“Actually - can I ask you where you got that backpack?” the tooth fairy said finally. “These bags are really heavy and hard to fly with.”

“Oh! Of course!” said the mouse.

And just like that, they were friends.
"
46,47,4,4,"Nikolas tried to tip-toe past. But the giant’s one huge eye slowly started to open.
"
47,48,12,4,"Ahmed didn’t know if aliens spoke English. How was he going to say hello to them?
"
48,49,11,4,"Mehdi and his family walked past the ruins of a gas station. “Why did they used to be called gas stations, Papa?” Mehdi asked.
"
49,50,6,4,"Yuuto had just gotten home from school. He was still taking off his shoes and his backpack when the knock came at the door.

“Come in!” his mother called out in Japanese. Yuuto looked at the door, but no aunts or uncles came rushing in.

Then his mother tried English. “Come in!” But the door still didn’t open - no neighbours asking to borrow some sugar, or school friends asking him to come play.

Yuuto’s mother came rushing into the hall and frowned at him. “Ayaa, what are you doing? Don’t just stand there! Open the door!” She reached for the doorknob.

Yuuto would always remember that moment. His mother’s hands were covered in rice flour, and he still only had one shoe off. As the door swung open, the sound of birds came in on the breeze. Two men in uniform were standing on the porch.

“Mrs. Nakamura? You and your family are being sent to an internment camp,” one of them said. They didn’t look at Yuuto. “You have ten days.”
"
50,51,10,4,"Connor always feels better when he’s holding his special piece of string. But if he leaves it in his desk for the whole day, he gets a sticker. And Connor loves stickers.
"
51,52,4,4,"They each put one hand on the silver ball. Slowly, they started to rise into the air.
"
52,53,9,4,"Freya sped away in her golden chariot. It was pulled not by horses, but cats!
"
53,54,2,4,"The adult human body has 206 bones! The biggest and strongest bone in our bodies is the femur (said like “fee-mur”). The femur is the bone inside of your thigh. The smallest bone in our bodies is the stirrup (said like “stir-up”). The stirrup is a teeny tiny bone deep inside your ear. It vibrates to help you hear sounds. It’s a very important bone, but it’s only as big as a grain of rice!
"
54,55,4,4,"Unicorns are nice to look at. But they don’t seem so pretty when they’re charging at you horn first!
"
55,56,11,4,"As Hannah watched, the beam of light moved across the room. When it touched the bed, her sister started to rise into the air.
"
56,57,5,4,"Where I come from, there is only one very old story. This story has been handed down from mother to daughter and from father to son. Nobody knows when it was first told. Perhaps it has <i>always</i> been told. It is the story of the Coat Woman. 

People say that the Coat Woman lives deep in the dark forest. Some people say she lives in the heart of a tree. Others say that she sleeps under the river. Only a very few souls have actually seen her. Or at least, only a few have been able to come back and tell about it.

She is tall. Very tall, for a woman (if that is what she is). She has dark glossy hair. The top half of her face is as pale as the moon. Nobody has ever seen the bottom half. It is always covered by the large collar of her great and mysterious coat. 

She is never seen without the coat. It seems to be too big for her. It falls all the way down to her feet and drags on the ground behind her. The sleeves are wide and sweeping. It is always said to be made of some thick, heavy material, but the color is disputed. Some people say the coat looks dark and soft like moss. Others say it is as pale and layered as the fog. One rare tale tells of the coat glowing like the light reflecting off a cat’s eye in the night.

But what is on the outside of the coat is less troubling than what lies on the inside. Some people think she has no body at all. The woman never speaks, but strange sounds come from under that coat: the calls of birds that don’t exist, the howling of strong winds, a chime that reminds you of something you lost in childhood. Nobody knows what is under her coat. Nobody wise wants to know. So if you ever see her in the deep, dark forest, don’t let your curiosity get the best of you. Or else the Coat Woman might get the best of you too. 

 
"
57,58,5,4,"The bird’s wings healed and it flew off home. And it lived flappily ever after.
"
58,59,5,4,"There once was a man who lived by the sea. He was a poor and honest fisherman. One day he was out fishing in his small boat. Suddenly, he felt something large tugging on his fishing line. Slowly and carefully he reeled it in. With a great pull he lifted it into the boat. It was a gigantic fish! It was like nothing he had ever seen before! It had sparkling rainbow scales and a long swishing tail. 

The fisherman was so happy! When he sold this fish in the market, he would be rich!

But then the fish looked up at him and said, “Please, good fisherman. Do not take me from my home in the water. It is not yet my time to go!”

The fisherman looked back at the fish. The fish looked very sad. The fisherman knew that the fish was right: it was not his time to go. So, the fisherman gave up his dreams of riches with a sigh. Then he threw the fish back into the water.

“Thank you so much!” cried the fish as it splashed down beside the boat. “For your kindness I will always owe you a favor. And I will be glad to give it to you when the time comes.” Happily, the fish swam away.

Many years passed and the fisherman got older. One day he was out on his boat when a storm suddenly hit. The sky went dark and the wind started howling. The fisherman wasn’t strong enough row against the large waves. His eyes weren’t clear enough see the shore. 

Then suddenly the rainbow fish appeared! Its head popped out of the water beside the boat and it said: “Hello again, kind fisherman! I have not forgotten that you saved my life all those years ago. Now it is my turn to help you!”

And so the fish pulled the fisherman in his boat all the way back to shore. When he was safely back on land, he waved his thanks to the fish. The fisherman and the fish became great friends, for the rest of their lives. And that was all the riches they needed.
"
59,60,7,4,"Ari is having the dream again. The worst dream of all. It’s the dream where she is standing in front of the whole class, about to give a presentation. The teacher is waiting for her to talk. The whole class is waiting for her to talk. But she can’t seem to start. Just like always, Ari looks to her left and sees the teacher. The teacher looks impatient. Just like always, Ari looks out at the class. Some of them also look impatient. Some of them look like they think it’s funny. Some of them just look bored. Why can’t she start talking?

Ari tries to open her mouth, but it won’t open. She raises her hand to her mouth - but there’s nothing there. It’s just a smooth stretch of skin where her mouth should be. Now Ari is really scared. This isn’t how the dream normally goes! Usually she wakes up by now. She tries to say something, but only a muffled sound comes out. She looks out at the class again. Now they all have only one look: terrified. She realizes that all of their mouths are growing over with skin. The teacher struggles and grabs her face, but it doesn’t help: she can’t say a word either. One girl at the back of the class lets out one last scream before her mouth is gone completely.

It’s that scream that wakes Ari up. She lies there for a second, breathing heavily. What a bad dream! She puts her hand to her mouth, to make sure everything is back to normal. And that’s when she starts trying to scream for real - but nothing comes out…
"
60,61,7,4,"Sierra sat in her room upstairs. Her big sister was at a friend’s house. Her parents were out. It was dark outside, and the branches of the big trees in the backyard tapped on the window. But Sierra was old enough to stay home alone. That meant she was brave enough to stay home alone too.

Then she heard a noise downstairs.

“Rrrrreeeeeennnnnnnh.”

It sounded like a monster. No - a witch! A screaming, creepy witch.

“RrrreeeEEENNNnnnnh.”

Sierra turned up her music and tried to ignore it. But it cut through the comforting sounds.

“RrrEEEENNNNNH.”

It sounded like it was coming from the kitchen.

Sierra got up all her courage. She turned off the music and cracked open her bedroom door. The house was quiet. Could she have imagined it? She crept into the hallway. It was dark, but a single light from the kitchen glowed at the bottom of the stairs.

“RrrreennnNNNNhhhh!”

Sierra jumped! There was definitely a witch down there in the kitchen. She had thought she was too old to believe in witches, but this was proof they existed. Nothing else could be making a noise like that. Sierra could picture the witch perfectly. She knew it would be crouched in the corner, beside the counter. It would have black robes and a horrible, warty nose. And it would reach out its crooked, bony fingers towards her…

Sierra took a deep breath. No matter what, the witch was going to get her. But she had to see it first. She tiptoed very, very quietly down the stairs. The yellow light glowed through the railing. Slowly, the kitchen came into view. The tile floor...no witch yet. The microwave...still no witch. The dishwasher, the counter, the corner…

Sierra stopped, still crouched on the stairs. Where was the witch? Was it invisible? Had it magically moved behind her? Was she about to feel those bony fingers on her shoulder?

“RRRRREENNNNNNNHHHHH!”

Sierra screamed! Then she stopped. Because even though the noise sounded louder and even more horrible up close, it wasn’t coming from a witch.

“Reennh. Rreennh. Clack. Clang. Sploosh. Sploosh.”

It was just the old, creaky dishwasher, finishing washing a load of dishes.
"
61,62,7,4,"The dollhouse sat alone on the sidewalk corner. Jamal got off his bike and walked towards it. There was no moon that night and it was dark. The <i>tik-tik-tik</i> of the bike wheel was the only sound on the street.

The house had only three sides so that he could look right into it. It had three floors and lots of little rooms. The outside was dirty and scratched but the inside was shiny and looked brand new. Jamal had never played with a dollhouse before. He leaned in closer to look at the little kitchen and the little bedroom. He liked the tiny lamps. He liked the tiny fridge with the even tinier fridge magnets. He slowly reached out a finger to touch a tiny milk jug– but then he heard people whispering. He turned quickly but saw no one. He was alone on the street. 

Jamal turned back towards the dollhouse. One of the tiny lamps was glowing with a soft, yellow light. Had that light been on before? The whispering began again. Suddenly Jamal wanted to have this dollhouse more than anything in the world. He needed to have it. It was his.
"
62,63,10,4,"William was allergic to just about everything. He couldn’t have peanut butter, and he couldn’t roll in the grass. He couldn’t eat at most restaurants, and he had to sleep with a special machine to filter the air in his room. Normally, that stuff didn’t bother William. He was used to it. But there was one big problem. He couldn’t have pets! He was allergic to cats, to dogs, to hamsters and even to birds. Mama Jules was scared of snakes, and Mama Steph said no to a pig. “Just a small one!” said William, but she said you never know how big they’d grow. 

That weekend, William told his aunt his problems. “I have just the thing for you,” she said. “Hop in the car.” They drove right past the pet store and into the suburbs. 

“Aquarium store?” said William when they stopped. “Aren’t fish kind of boring?” 

“Wait and see,” his aunt said, holding open the door. 

Inside there were tanks from floor to ceiling. There were more fish than William had ever seen - and they weren’t boring at all! They came in every color and every size and every shape. 

“Whoa,” said William.
"
63,64,8,4,"Adish stared hard at the classroom floor. The map said that the bag of stolen popsicles should be right here. “X” marks the spot. But nothing was there! Was it possible that the bag was hidden underground? Would he have to dig all the way under the school? Just then Adish heard a drip sound and a small red spot appeared on the floor tile. After a moment, a purple splat joined it. Adish lifted his head. He had found the missing popsicles!
"
64,65,11,4,"Logan’s parents had a very important job. They travelled to different planets to learn about the different people who lived on each one. They would stay long enough to write down all the facts, and then they would have to zoom off to another planet. Logan hated it. “Every time we go to a new planet, I have to learn all the jokes the kids have there. Then we move and I have to learn a bunch of new ones!” he complained. Logan’s mom and dad looked at him seriously. “Logan, I think I have an idea,” his dad said. Now, Logan has a very important job. He writes down facts about each planet, just like his parents - but his facts are a little different. He is keeping track of all the jokes he learns! Now when he moves, he soon has all the kids on his new planet laughing. “Tell us more!” they say. And Logan always does.
"
65,66,11,4,"As they flew closer to the planet, Brianna gasped. It wasn’t a planet - it was a giant space station!
"
66,67,4,4,"Marcus was walking through the forest singing to the butterflies. Suddenly, he heard a noise in the bushes behind him. He turned around to find the strangest creature he had ever seen. The creature looked sort of like a very small old man. It had thin limbs and pale greyish skin. Its head was wider than a normal person’s, and its large eyes were a deep, glittering purple. Oddly enough, the creature did not seem to walk on its feet. Its scrawny arms held up its body while its legs were crossed and twisted like a pretzel behind its head. But strangest of all were the toenails growing from those feet: they were yellow, and jagged, and so long that they curled into spirals at the ends!

“What are you lookin’ at?” the thing growled at Marcus.

“Nothing!” Marcus replied at once. “I’ve just never seen a creature like you before.”

“Oh yeah?” it said. “We’re a rare kind. The world can’t handle too much of a beautiful thing, you know.” It carefully dug around in one nostril with the tip of a gnarled toenail.

“I...I guess not.” said Marcus. He turned to leave.

“You can call me Teegy,” the creature said, shuffling towards Marcus. He proudly extended a filthy, lumpy foot. (Marcus was relieved it wasn’t the foot with the booger still hanging off the end.) “Teegy of the Geegersneegers.”

Marcus looked at the foot and swallowed. A bad, sweet smell like rotting fruit was coming from it. Still, he took the foot in his hand and shook it, trying to smile. “Um, it’s nice to meet you, Teegy. I’m Marcus the Wanderer.”
"
67,68,10,4,"Ava opened up her lunch box, feeling hungry. But as soon as she saw what was inside, she lost her appetite. First, she pulled out a tuna and chocolate sauce sandwich. Next, she found a melting piece of blue cheese with soy sauce on top! Instead of her juice box, she found a tin of grey goop that smelled like rubber tires (she didn’t dare find out what it tasted like!). But worst of all was what she found for dessert. Today in her lunch there was no cake, or cookies, or pudding. Instead, when she reached in her hand to pull out dessert, all she found there was….apple slices!

“The horror!” Ava yelled across the cafeteria. “Who could do such a terrible thing to a child? I shall never eat again!”
"
68,69,7,4,"The vines were just growing and growing– they wouldn’t stop! They coiled around Beth’s ankles so she couldn’t run. They spiraled up her legs like strong green snakes. They grew and grew, faster and faster! The vines wound around her torso. Beth struggled hard, trying to fight them off. But every time her fist broke free, more vines sprouted up and pinned her arms back down! They were like evil, living ropes! Beth could hear them rustling in her hair beside her ears. And then suddenly all she could see was green, and then black. They were growing over her eyes! She opened her mouth wide to scream but the vines were too quick! They grew over her mouth until her scream was no more than a muffled moan. Now Beth blended in perfectly with the other plants on the forest floor. Just the way they liked it.
"
69,70,2,4,"When lightning strikes, it heats up the air around it. Lightning can heat the air to five times hotter than the surface of the sun! 
"
70,71,2,4,"What if you had taste buds on your feet? Maybe you would wash your socks more often. Luckily butterflies don’t wear socks– but they do taste things with their feet! Butterflies taste their food by standing on top of it! By standing on a leaf, they can taste if it will be good to eat. I guess you could say that butterflies like food with a lot of kick! Yum!
"
71,72,2,4,"Have you ever heard an elephant sing? Of course you haven’t! That’s because while they <i>do</i> sing– but it’s too low for us to hear! Elephants sing just like people do. They blow air through a voice box in their throat to make sounds. The sound that comes out is a rumble so low that human ears can’t hear it. If only we had big floppy ones like them!

Elephants sing to each other for different reasons. They sing to each other to keep the herd together. They sing to find each other if they have gotten lost. They even sing to find mates! I think humans do that last one too… Do you think elephants like karaoke? 
"
72,73,8,4,"The twins were on the case. Christopher and Christina sat in their treehouse. They were going over the facts. Christina started pacing back and forth, thinking hard.

“So you put two socks into the dryer, but only one sock comes out,” she said.

Christopher nodded. “That’s right. But you never know for sure that one is missing until you sort them.”

“Right,” said Christina. “You go to make your pairs and wind up with one red sock and one blue sock at the end.”

“Right,” said Christopher. “So is the other blue sock turning red? Or is the other red sock turning blue? Or are two of the socks just disappearing altogether? It’s madness!” he shouted.

“It is madness,” Christina agreed. “People have been losing socks in the laundry since the beginning of time!” She thought about that. “Or at least since the sock was invented! It’s the biggest unsolved mystery in the history of the world!”

“Well we’re gonna solve it!” Christopher said, standing up too. “All we have to do is keep each other on our <i>toes</i> and put our best <i>foot</i> forward!” Christina rolled her eyes.

 
"
73,74,7,4,"When he started walking, the footsteps started up. When he stopped, they stopped too - but a moment after him.
"
74,75,10,4,"Moira let her legs dangle off the wooden bench and started swinging them back and forth. Her toe accidentally kicked the wall of the bus shelter. It made a soft <i>thunk</i>. She did it again and added in the second foot. <i>Thunk thunk</i>. She began tapping them back and forth, building up a rhythm until she heard a small cough from beside her. 

The only other person at the bus stop was a man with a newspaper. He looked old, like her daddy, but not as old as Grandpa. He was wearing an expensive suit with dark striped pants. As Moira looked at him he gave her a stern look over his newspaper. He didn’t say anything but eventually turned the page and went back to his reading.

“What are you waiting for, Mister?” Moira asked him.

“I beg your pardon, young lady?” he replied.

“I’m just wondering what you’re waiting for,” she said. “It’s a real hot day to just be sitting around in the sun like this. Like, just for fun or something.” 

“This is a bus stop,” he said, keeping his eyes on his newspaper. “I am waiting for the bus.”

Moira stopped staring at him and started pulling at a loose thread on her dress. “It just looks to me like you might be some kind of rich, fancy type of business person or something. People like that don’t usually take the bus.”

The man folded his paper down and looked at her. “Young lady, did you know that it’s rude to ask how much money someone has?”

“I wasn’t asking!” Moira replied, trying to look shocked. “I just said what it <i>looks</i> like, and I think I’m right. Anyway, all I really meant was that you can wait for all kinds of stuff at a bus stop. Just because busses stop here doesn’t mean that nothing else does.”

The man considered this. “Yes, I suppose you’re right. What are you waiting for, then?” he asked.

“Well,” Moira said, standing up and shading her eyes with her hand, “I’m waiting for an adventure!”
"
