id,passageId,skillId,questionTypeId,"question","potentialAnswers","correctAnswers",atLeast,difficulty,disabled,"rationale","updatedAt","createdAt",commonCoreId
19,81,13,4,"Which words are synonyms for “wicked?”","[\"Kind\", \"Evil\", \"Naughty\", \"Nice\"]","[\"Evil\", \"Naughty\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
20,81,13,1,"Read this sentence“Abbatha was so light and small, that the old man had no idea what had happened.”Which meaning of light is used in the sentence?","[\"Pale\", \"Not a deep or dark color\", \"Whitish\", \"Doesn't weigh a lot\"]","[\"Doesn't weigh a lot\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
21,81,8,4,"Why do you think no one could hear Abbatha when she screamed and yelled? (Choose all of the correct answers)","[\"No one was listening.\", \"There was too much going on.\", \"Her voice wasn’t very loud.\", \"Because she was in the coat pocket it was hard to hear her.\"]","[\"Her voice wasn’t very loud.\", \"Because she was in the coat pocket it was hard to hear her.\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
22,81,8,4,"How do you think the old man felt when he heard Abbatha whisper in his ear? (Choose all that apply)","[\"Frightened\", \"Startled\", \"Silly\", \"Confused\"]","[\"Frightened\", \"Startled\", \"Confused\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
23,81,2,1,"When the author said Abbatha was standing on the windowsill sweeping and the wicked old man put her in his coat pocket, I can imagine Abbatha was about as tall as","[\"A new pencil.\", \"A first grader.\", \"A car.\", \"Your principal.\"]","[\"A new pencil.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
24,240,3,1,"Flush toilets have been around since:","[\"Clay was invented.\", \"1900 BCE.\", \"People needed fertilizer.\", \"People lived in cities.\"]","[\"1900 BCE.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
25,240,3,1,"How did the flush toilets work?","[\"By drawing water into jars through the pipes, and then emptying the jars through the toilet holes and into waste pits.\", \"By using suction to suck the waste out.\", \"By pulling a chain that directed the waste into a series of different pipes and compartments for disposal.\", \"The toilet was just a hole in the ground with a large bucket underneath it to collect the waste.\"]","[\"By drawing water into jars through the pipes, and then emptying the jars through the toilet holes and into waste pits.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
26,240,3,1,"What was the solid waste used for afterwards?","[\"It was just buried and forgotten\", \"It was used as fertilizer.\", \"It was formed into bricks for houses.\", \"It was made into clay pipes for toilets.\"]","[\"It was used as fertilizer.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
27,240,13,1,"What is the best meaning of  \"drawing\" in this sentence: \"The toilets worked by drawing water into jars through the pipes, and then emptying the jars through the toilet holes and into waste pits\"?","[\"A really pretty picture.\", \"To bring, take, or pull out.\", \"To swim.\", \"To drink.\"]","[\"To bring, take, or pull out.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
28,240,14,1,"The author wants you to know:","[\"That you know how flush toilets work.\", \"That flush toilets were invented thousands of years ago.\", \"That not everyone had water wells back then.\", \"That it's important not to mess around in the Indus Valley.\"]","[\"That flush toilets were invented thousands of years ago.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
29,240,6,1,"This passage is an example of nonfiction because:","[\"It is entertaining.\", \"There is a specific date and facts.\", \"Toilets are nonfiction.\", \"All houses had wells.\"]","[\"There is a specific date and facts.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
30,240,50,1,"The Indus Valley is now:","[\"Afganistan, India, Pakistan\", \"Indus\", \"In the very dry desert.\", \"A big city.\"]","[\"Afganistan, India, Pakistan\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
31,240,14,1,"Why did the author most likely write this story?","[\"To encourage readers to build toilet systems similar to what was used in the Ancient Indus Valley Civilization.\", \"To chronicle the spread of disease.\", \"To explain to readers the earliest history of the toilet.\", \"To persuade readers to check their pipes for precious clay.\"]","[\"To explain to readers the earliest history of the toilet.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
32,240,20,1,"Which of the following countries was NOT once part of the ancient Indus Valley Civilization?","[\"Pakistan\", \"India\", \"Afghanistan\", \"Vietnam\"]","[\"Vietnam\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
33,240,8,1,"Why do you think it was important to have flush toilets in a city? Choose the best answer:","[\"It kept the city clean and free from many diseases.\", \"It created jobs.\", \"It was the only place to get fertiizer.\", \"Only the rich could have them.\"]","[\"It kept the city clean and free from many diseases.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
34,224,14,1,"The author wants you to give out cocoa beans for Halloween:","[\"True\", \"False\"]","[\"False\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
35,224,20,1,"True or False: Mexico currently uses chocolate as its main form of currency.","[\"True\", \"False\"]","[\"False\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
36,224,4,1,"What is the main idea of this passage?","[\"Cocoa beans are worth a million dollars.\", \"Cocoa beans were an integral part of Aztec culture.\", \"It's important to save your beans to buy a rabbit.\", \"Halloween is coming up soon.\"]","[\"Cocoa beans were an integral part of Aztec culture.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
37,224,3,4,"What were the cocoa beans used for? Select all that apply:","[\"Buying animals\", \"As food and drink\", \"As money\", \"Religious ceremonies\", \"Halloween\"]","[\"Buying animals\", \"As food and drink\", \"As money\", \"Religious ceremonies\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
38,224,3,1,"Why were cocoa beans valuable to the Aztecs?","[\"They were used as food and drink, and in religious ceremonies.\", \"They cost a lot to grow.\", \"They were the only thing that rabbits would eat.\", \"They tasted like a million dollars.\"]","[\"They were used as food and drink, and in religious ceremonies.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
39,224,3,1,"Why did the Aztecs use cocoa beans as money?","[\"There weren't many cocoa trees.\", \"They smelled better than the other kinds of money.\", \"They could do more with the beans than they could with regular money.\", \"The beans were seen as valuable and could be used to barter.\"]","[\"The beans were seen as valuable and could be used to barter.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
40,224,6,1,"This text passage is an example of","[\"Nonfiction\", \"Comedy\", \"Horror\", \"Thriller\"]","[\"Nonfiction\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
41,224,13,1,"What does \"valuable\" mean in the following sentence: \"Because of that, cacao beans were valuable and they were used as money!\"?","[\"You could buy things with it.\", \"Something of great worth.\", \"Food costs money.\", \"You have to take care of it.\"]","[\"Something of great worth.\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
42,224,13,1,"What is an antonym (opposite) of the word \"reality\"?","[\"Nonfiction\", \"Fantasy\", \"Comedy\", \"Horror\"]","[\"Fantasy\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
44,242,13,1,"The word \"emperor\" is closest in meaning to:","[\"Horse\", \"Consul\", \"Leader\", \"Historian\"]","[\"Leader\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
45,242,14,1,"Why would the author include the jokes, \"I guess if the horse disagreed with any laws being passed, he could just shout out 'Neigh'!\" and \"But, whether Caligula was serious or just horsin' around...\" ?","[\"To emphasize that Incitatus is beautiful.\", \"To distract you from the story.\", \"To use humour to engage the reader.\", \"To help us see that Caligula was not a popular leader.\"]","[\"To use humour to engage the reader.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
46,242,5,1,"What word(s) are used to describe Incitatus?","[\"Cool\", \"Fast\", \"Beautiful\", \"All of the above\"]","[\"All of the above\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
47,242,20,1,"What does the author most likely mean when she prefaces the story with the words, \"According to legend...\"?","[\"That the events described in the passage may or may not have really happened.\", \"That the facts within the passage are of critical historical importance.\", \"That Caligula absolutely was not a real person.\", \"That the story is quite old.\"]","[\"That the events described in the passage may or may not have really happened.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
48,242,8,1,"Which of the following details from the text could be used to support the claim that Caligula may have been crazy?","[\"\\\"Caligula thought Incitatus was the coolest, fastest, most beautiful horse in all the land!\\\"\", \"\\\"Caligula wanted to make Incitatus a “consul” which was a very important and high-ranking elected position in the Roman government, sort of like a senator.\\\"\", \"\\\"Caligula was not the world’s most popular leader, so a lot of people made up stories about him.\\\"\", \"\\\"Incitatus was a horse for the ages!\\\"\"]","[\"\\\"Caligula wanted to make Incitatus a “consul” which was a very important and high-ranking elected position in the Roman government, sort of like a senator.\\\"\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
49,242,8,1,"What do you think the auther intended the word \"Neigh\" to mean?","[\"No\", \"Maybe\", \"Yes\", \"Okay\"]","[\"No\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
50,242,11,1,"What question might the reader of this story ask themselves?","[\"Why did Caligula give his horse so many expensive gifts?\", \"Why didn't Caligula like the other senators?\", \"Why didn't people like Caligula?\", \"All of the above.\"]","[\"All of the above.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
51,242,8,1,"What do you think is true about Caligula according to the story?","[\"He didn't like horses.\", \"He was well-loved by many.\", \"He treated Incitatus badly.\", \"He spoiled Incitatus with rich gifts.\"]","[\"He spoiled Incitatus with rich gifts.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
52,242,3,1,"Which of the following descriptions best matches Caligula's relationship with his horse?","[\"Caligula neglected to care for the needs of his horse, Incitatus, often forgetting to leave out food and clean water.\", \"Caligula preferred to ride Incitatus (rather than his other horses) into battle because Incitatus was known for being exceptionally swift.\", \"Caligula had a highly elevated impression of Incitatus, regarding the horse like a person or sometimes even like a god.\", \"Caligula enjoyed riding Incitatus, and treated the horse like a beloved family pet.\"]","[\"Caligula had a highly elevated impression of Incitatus, regarding the horse like a person or sometimes even like a god.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
53,356,3,1,"What did Casey want to do to the cat?","[\"Chase the cat.\", \"Bite the cat.\", \"Fight the cat.\", \"Pet the cat.\"]","[\"Chase the cat.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
54,356,3,1,"How does Casey keep from doing bad things?","[\"He would hide in the laundry.\", \"He would go outside in the yard to get away.\", \"He would remember what Mom and Dad had told him.\", \"He would nap.\"]","[\"He would remember what Mom and Dad had told him.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
55,356,3,1,"Which of these things did Casey like to do for fun?","[\"Chew bones.\", \"Hide in laundry.\", \"Bark doggie songs.\", \"All of the above\"]","[\"All of the above\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
56,356,51,1,"The sentence, \"Casey wanted to bite him, like his most favourite bone\" includes what type of figurative language?","[\"Simile\", \"Metaphor\", \"Exaggeration\", \"Imagery\"]","[\"Simile\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
57,356,48,1,"The following small part of the passage contains what type of figurative language?:  Mom said, “Remember, be a good boy today!” Casey looked up at her, and with a bark said, “Okay!” Dad said, “Here is a nice new bone to chew! Because after all, that’s what good doggies do.”
","[\"Ryhme\", \"Singing\", \"Repetition\", \"Simile\"]","[\"Ryhme\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
58,356,6,1,"What details in the story let you know that this is not realistic fiction?","[\"A dog is going to the beach.\", \"Mom and Dad go to work.\", \"A dog is able to understand all of the human speech.\", \"Casey always wants to bite the mailman when he comes to the house.\"]","[\"A dog is able to understand all of the human speech.\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
59,356,48,1,"What type of rhyme scheme is being used in the passage below? Mom said, “Remember, be a good boy today!” Casey looked up at her, and with a bark said, “Okay!” Dad said, “Here is a nice new bone to chew! Because after all, that’s what good doggies do.”
","[\"ABAB\", \"AABB\", \"ABCABC\", \"ABCB\"]","[\"AABB\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
60,356,8,1,"In what ways was Casey a good dog?","[\"He would never even think of causing trouble.\", \"Whenever he thought of doing something naughty, he would remember what Mom and Dad had told him.\", \"He took care of the other pets in the house.\", \"He was great at playing with children.\"]","[\"Whenever he thought of doing something naughty, he would remember what Mom and Dad had told him.\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
61,356,8,1,"How were Casey’s mom and dad good dog owners?","[\"They bought new bones for Casey.\", \"They taught Casey lessons about good behavior.\", \"They left him alone all day to go to work in the city.\", \"Both A and B\"]","[\"Both A and B\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
62,356,8,1,"Why do you think Mom and Dad are going to bring Casey to the beach?","[\"Because they do not see him much during the week since they go to work.\", \"To reward him for his good behavior at home.\", \"To give him exercise since he is getting overweight.\", \"Both A and B\"]","[\"Both A and B\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
63,356,8,1,"How does Casey most likely feel about himself at the end of the story?","[\"Proud of his behavior.\", \"Excited to go to the beach.\", \"Scared to go somewhere new.\", \"Both A and B\"]","[\"Both A and B\"]",NULL,4,0,NULL,"2019-11-11 15:55:30","2019-03-20 20:03:16",NULL
65,119,3,1,"What plan did the kids come up with in order to go sledding on Cedarvale Hill?","[\"They built a giant blanket fort.\", \"They would use the family laptop.\", \"They would play a movie and crank the volume up.\", \"They would sneak out the cellar door.\", \"All of the above.\"]","[\"All of the above.\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-03-20 20:03:16",NULL
66,119,28,1,"What was the \"big problem\" at the core of Aidan's brilliant scheme?","[\"Aidan didn't have a sled.\", \"Aidan's mom knew Aidan didn't watch movies in his forts.\", \"The family laptop was broken.\", \"Jack and Aidan couldn't agree on the plan.\"]","[\"Aidan didn't have a sled.\"]",NULL,4,0,NULL,"2019-11-11 16:00:07","2019-03-20 20:03:16",NULL
67,119,14,1,"Why did the author most likely write the passage, \"Cedarvale Hill\"?","[\"To inform readers about the icy conditions of the Cedarvale Hill.\", \"To persuade readers to stay away from Cedarvale Hill and other dangerous sledding spots.\", \"To explain Aidan's relationship with his mother.\", \"To tell an entertaining story about a sledding adventure that three friends planned.\"]","[\"To tell an entertaining story about a sledding adventure that three friends planned.\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
68,119,20,1,"Why is the phrase \"trash bags don't steer well\" repeated in the passage? How is it significant to the story?","[\"It acts as foreshadowing, giving readers a clue that trash bags are not going to work successfully as sleds.\", \"It shows that the children in the story are unintelligent, since they pick a poor household item to double as a sled.\", \"It creates a sense of rhythm and flow throughout the passage that readers will notice as they read.\", \"To make readers imagine trash bags with steering wheels.\"]","[\"It acts as foreshadowing, giving readers a clue that trash bags are not going to work successfully as sleds.\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
69,119,49,1,"What obstacles did the kids overcome before they arrived at Cedarvale Hill?","[\"Aidan's mother saying \\\"no\\\" because it was too icy and dangerous.\", \"Aidan didn't have a sled.\", \"They needed to find \\\"protective armour\\\" to keep them safe when sledding.\", \"All of the above.\"]","[\"All of the above.\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
70,119,5,1,"What evidence exists that proves that Aidan acts as the leader in his group of friends?","[\"Jack suggested that the group wear protective clothing since trash bags do not steer well.\", \"The group put the plan into action while at Aidan's house.\", \"Aidan suggested to his friends the plan that they go sledding down Cedarvale Hill.\", \"Tara asked Aidan where he kept his sled.\"]","[\"Aidan suggested to his friends the plan that they go sledding down Cedarvale Hill.\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
71,119,8,1,"How could you tell that Tara and Jack were excited about Aidan's idea to sled down Cedarvale Hill?","[\"They couldn't stop screaming.\", \"They smiled with an excited look on their faces.\", \"They high-fived.\", \"They jumped up and down.\"]","[\"They smiled with an excited look on their faces.\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
72,119,8,1,"
How is Aidan feeling when he reaches the top of the hill and can feel \"the bottoms of his feet go sweaty\" and when he \"had to swallow a lump in his throat\"?","[\"Excited\", \"Frustrated\", \"Calm\", \"Nervous\"]","[\"Nervous\"]",NULL,5,0,NULL,"2019-08-01 14:34:17","2019-03-20 20:03:16",NULL
73,232,20,1,"True or False: Leah is a child ","[\"True\", \"False\"]","[\"False\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
74,232,20,1,"Which of the following circus acts was not described in the passage?","[\"Breathing fire\", \"Balancing plates\", \"Taming tigers\", \"Juggling jugs\"]","[\"Taming tigers\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
76,232,3,1,"The passage primarily focuses on what part of Leah's day?","[\"The morning\", \"The afternoon\", \"The evening\", \"The night\"]","[\"The morning\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
77,232,2,1,"The setting of the first two paragraphs is best described as...","[\"A circus tent\", \"A typical schoolhouse\", \"A bright blue house\", \"A traveling caravan\"]","[\"A bright blue house\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
78,232,20,1,"What is the purpose of the information included within parentheses?","[\"To provide more detail about the characters/settings described in the preceding sentences.\", \"To provide secret information that the reader knows, but the character has not yet figured out.\", \"To help to define difficult vocabulary that appears before it.\", \"To remind readers of what they read in the first paragraph.\"]","[\"To provide more detail about the characters/settings described in the preceding sentences.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
79,232,21,1,"\"Felix the Flexible,\" \"Magda the Magnificent,\" and \"Amazing Amanda\" are names that use what type of figurative language?","[\"Onomatopoeia\", \"Exaggeration\", \"Alliteration\", \"Repetition\"]","[\"Alliteration\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
80,232,8,1,"Which detail supports the claim that Leah most likely performed headstands with the circus?","[\"\\\"This was even more difficult on the days when Bogdan was practicing riding his unicycle at the same time\\\" (paragraph 2)\", \"\\\"Or maybe it was because she couldn't think straight unless she was standing on her head\\\" (paragraph 1)\", \"\\\"When Leah left for school, Maria was always there hanging upside down from the doorframe to hand everyone their lunches\\\" (paragraph 2)\", \"\\\"The halls were always packed with jugglers juggling jugs and people doing flips\\\" (paragraph 3)\"]","[\"\\\"Or maybe it was because she couldn't think straight unless she was standing on her head\\\" (paragraph 1)\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
81,232,8,1,"According to this passage, adults can be students.","[\"True\", \"False\"]","[\"True\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
82,232,8,1,"What detail best proves that the circus students do not always perform their tricks perfectly?","[\"\\\"No two acts were the same and that's what made it wonderful\\\" (paragraph 3)\", \"\\\"Maria was always there hanging upside down\\\" (paragraph 2)\", \"\\\"One time The Amazing Amanda perfected her magic act by disappearing all of Leah’s homework\\\" (paragraph 3)\", \"\\\"The walls had burn marks here and there from the mornings when Leon was still a bit sleepy.\\\"\"]","[\"\\\"The walls had burn marks here and there from the mornings when Leon was still a bit sleepy.\\\"\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
83,221,20,1,"What did Mustafa see that was most startling?","[\"A beat up, leather book.\", \"The digger's face.\", \"An eerie orange glow.\", \"A crown with hundreds of human teeth embedded in it.\"]","[\"A crown with hundreds of human teeth embedded in it.\"]",NULL,6,0,NULL,"2019-11-11 16:02:50","2019-03-20 20:03:16",NULL
84,221,1,1,"What do you think Mustafa will most likely do next?","[\"Stay hidden under his covers.\", \"Go get his parents.\", \"Sneak outside for a closer look.\", \"Any of the above are reasonable predictions.\"]","[\"Any of the above are reasonable predictions.\"]",NULL,6,0,NULL,"2019-11-11 16:02:50","2019-03-20 20:03:16",NULL
85,221,3,1,"Why did Mustafa get a feeling like \"an icy stone falling into his stomach\" after he first woke up?","[\"He was cold upon waking.\", \"He was not feeling well.\", \"He was excited about his dream.\", \"He remembered what happened during the night.\"]","[\"He remembered what happened during the night.\"]",NULL,6,0,NULL,"2019-11-11 16:02:50","2019-03-20 20:03:16",NULL
86,221,13,1,"What is meant by the phrase \"having too-vivid of an imagination\"?","[\"Not having much of an imagination.\", \"Having an over-active imagination.\", \"Not being clear.\", \"Being silly or funny.\"]","[\"Having an over-active imagination.\"]",NULL,6,0,NULL,"2019-11-11 16:02:50","2019-03-20 20:03:16",NULL
87,221,5,1,"Which words best describe how Mustafa likely felt when he heard the digging sound outside his window?","[\"excited and happy\", \"nervous and curious\", \"terrified and worried\", \"thrilled and energized\"]","[\"nervous and curious\"]",NULL,6,0,NULL,"2019-11-11 16:02:50","2019-03-20 20:03:16",NULL
