id,genreId,gradeId,text,passageId,skillId,questionTypeId,question,potentialAnswers,correctAnswers,Question Type
33,10,3,"The bush was rustling so much, it sounded as if a big bear was inside. Then a tiny white kitten came crawling out.
",33,3.0,1,Which of the following events does NOT happen in the story?,"[""A bear appears."", ""A kitten appears."", ""A rustling sound can be heard."", ""The bush moves.""]","[""A bear appears.""]",Literal
34,5,3,"In a far away land, in a far away time, there lived a proud old king. The king was <i>so</i> proud that he believed that he controlled the moon and the sun. He loved to shout about his powers from the castle’s tallest towers.

“The moon only shines because I make it so!” he cried to knights and servants. “The sun only rises each day on my orders!” 

People always nodded politely. It was not wise to argue with the king. Then, one day, a wandering jester came to the kingdom. Right away he heard the king’s bragging. It made him laugh. So, he went to the castle wall and called up to the king.

“If you can make the sun rise and the moon shine,” he yelled, “then why don’t you just prove it?”
",34,3.0,1,What did the king believe he controlled?,"[""The stars"", ""The solar system"", ""The people in town"", ""The moon and sun""]","[""The moon and sun""]",Literal
35,11,3,"Alfy rolled his wheelchair into the middle of the hallway, blocking his big sister’s path. 

“Come on! Just hear me out,” he said.

Selena crossed her arms and looked at him. “Okay,” she sighed. “Tell me about this great invention of yours.”

Alfy grinned and spun his chair to face her. He spread out his arms on either side of him dramatically. “Rocks!” he cried. “I call it the If-Rocks-Could-Talk-Project!”

Selena raised her eyebrows. “Rocks?” she said. “Talking rocks? Alfy, I love you, but I think your head is full of rocks.”

“Just think about it!” he said. “Rocks are just about the oldest things on Earth. If we had some way of talking to them, imagine what they could tell us! They could tell us about the beginning of the planet! They could tell us about creatures we never even knew were real! They could tell us about the world’s most ancient people and how they lived! They could tell us everything!”

Selena looked interested now. “I guess it’s not a totally wacko idea,” she said. “But still, rocks aren’t alive, Alfy! They can’t even talk to each other, let alone us. There’s no way you’ve made a gadget that can do that.”

Alfy’s eyes twinkled with excitement. “But I have!” he said. “Or, at least I’m pretty sure that I have. I really really think my invention is going to work. I just need your help to test it!”
",35,3.0,1,Why does Alfy need Selena’s help?,"[""To help test the invention."", ""To carry rocks."", ""To push his wheelchair."", ""To help build his invention.""]","[""To help test the invention.""]",Literal
36,5,3,"Once upon a time, there was a man who felt too small. Oddly, he was already over 76 feet tall! 
",36,3.0,1,Why is it ironic that the giant felt small?,"[""He is roughly twelve times taller than an average man."", ""He is quite tall."", ""The words \""giant\"" and \""small\"" are antonyms."", ""All of the above""]","[""All of the above""]",Inferential
39,11,3,"Simon stared at the alien that sat on the metal table in the lab. It looked like an upside down jujube with a mouth. It didn’t have any eyes, but it’s wide mouth was smiling. It jiggled happily back and forth making odd squeaks. 

Professor Dinkluss looked at the strange creature and scratched his chin. “Well, I’ve done some tests,” he said. “And a few things are clear now.” He waved at Simon to come closer.

“I...think I’m okay back here for now. Thanks,” said Simon. 

“Suit yourself,” said the professor. He went on. “The first thing was to find out what it eats. That was not as easy as it might sound.”

“Picky eater, huh?” Simon said. 

“Exactly,” replied the professor. “I tried feeding it meat: steak, jerky, ham, spam, burgers, sushi. Nothing. No interest. Then I tried vegetables and fruits: broccoli, sprouts, raspberries, bananas. It sucked on a turnip for a while, but then spit it out. I tried blue cheese, and cotton candy, fried eggs, and chewing gum. I tried grass and tree bark and metal nails and nail polish. None of it was any good.” He smiled. “But then I finally figured it out.”

“So, what does it eat then?” Simon asked.

“Sunlight.” the professor said simply.

“Sunlight? How is that possible? No creature can <i>eat</i> sunlight!” Simon said.

“Oh no?” said the professor, curling an eyebrow. “Can’t you think of some living creatures on our own planet who do just that? Who use sunlight as their main source of energy to grow?”

Simon frowned, thinking. Then with a jolt, he realized. 

“Plants!” he cried. “Plants are sunlight eaters too!”
",39,3.0,1,What is the setting of this story?,"[""Outside"", ""In a house"", ""In a garden"", ""In a lab""]","[""In a lab""]",Literal
40,8,3,"“This room hasn’t been unlocked in 25 years,” Imogen said, turning the key. Dev went in and sat in an armchair. It was warm.
",40,3.0,1,Which of the following desciptions is NOT correct?,"[""The armchair was warm."", ""The armchair was in the room."", ""Imogen opened the door to the room."", ""The room had been unlocked for 25 years.""]","[""The room had been unlocked for 25 years.""]",Literal
40,8,3,"“This room hasn’t been unlocked in 25 years,” Imogen said, turning the key. Dev went in and sat in an armchair. It was warm.
",40,3.0,1,Dev unlocked the door with the key.,"[""True"", ""False""]","[""False""]",Literal
46,4,4,"The tooth fairy sighed. She still had more than sixty teeth to collect, and it was already past midnight. She flapped her tiny, tired wings and flew across the quiet streets. On one side she carried a bag full of coins. On the other was her bag full of baby teeth. The bags brushed the windowsill as she flew into the next child’s bedroom.

But what she saw inside made her stop suddenly in mid-air. What was this? There was already someone pulling a tooth out from under this child’s pillow! It couldn’t be another fairy - they had no interest in teeth. That was her job! She flew closer.

It was a little brown mouse. As she watched, it pulled a coin out of its mouse-sized backpack and pushed the money under the pillow. Then it carefully put the tooth in the backpack and zipped it up.

The tooth fairy couldn’t stand it anymore. She was supposed to be collecting that tooth! “What are you doing?” she said, in a whisper that was more of a shout.

The mouse looked up. “Oh, I’m sorry, are you here for the tooth?” it said. “You see, I’m the French tooth fairy. And this child is French. So this is actually <i>my</i> job.”

“But...but this is my area! I’m supposed to collect that tooth!” the tooth fairy said. She flew slowly down to the bed beside the child’s pillow.

The mouse shrugged its tiny mouse shoulders. “But this is a French tooth,” it said.

The tooth fairy couldn’t think of anything to say to that. The two small tooth fairies stared at each other. Then the child turned over in its sleep and broke the spell. The mouse ran smoothly up the desk to the window. The fairy flew up after it. They both stood on the windowsill for a moment, looking out at the moonlit night.

“Actually - can I ask you where you got that backpack?” the tooth fairy said finally. “These bags are really heavy and hard to fly with.”

“Oh! Of course!” said the mouse.

And just like that, they were friends.
",46,3.0,1,Why did the tooth fairy and the mouse argue over which one of them should take the child's lost tooth?,"[""The mouse felt that it had the right to the tooth because the mouse was the French tooth fairy and the child was from France."", ""The tooth fairy felt that she had the right to the tooth because the child was sleeping in her area."", ""The mouse felt that it had the right to the tooth because it needed small items it could keep in it's mousehole."", ""Both A and B"", ""Both B and C""]","[""Both A and B""]",Literal
48,12,4,"Ahmed didn’t know if aliens spoke English. How was he going to say hello to them?
",48,3.0,1,"When Ahmed finds aliens, his first plan is to:","[""Run away from them."", ""Capture one as proof that he's seen aliens."", ""Take a picture of them."", ""Find a way to say hello to them.""]","[""Find a way to say hello to them.""]",Inferential
48,12,4,"Ahmed didn’t know if aliens spoke English. How was he going to say hello to them?
",48,3.0,1,True or False: Ahmed knows which languages the aliens speak. ,"[""True"", ""False""]","[""False""]",Literal
54,2,4,"The adult human body has 206 bones! The biggest and strongest bone in our bodies is the femur (said like “fee-mur”). The femur is the bone inside of your thigh. The smallest bone in our bodies is the stirrup (said like “stir-up”). The stirrup is a teeny tiny bone deep inside your ear. It vibrates to help you hear sounds. It’s a very important bone, but it’s only as big as a grain of rice!
",54,3.0,1,What is the smallest bone in the human body?,"[""The stirrup"", ""The femur"", ""The femur is the bone inside of your thigh."", ""The stirrup is only as big as a grain of rice.""]","[""The stirrup""]",Literal
54,2,4,"The adult human body has 206 bones! The biggest and strongest bone in our bodies is the femur (said like “fee-mur”). The femur is the bone inside of your thigh. The smallest bone in our bodies is the stirrup (said like “stir-up”). The stirrup is a teeny tiny bone deep inside your ear. It vibrates to help you hear sounds. It’s a very important bone, but it’s only as big as a grain of rice!
",54,3.0,1,Which of the following is NOT used to describe the stirrup? ,"[""It’s a tiny bone deep inside your ear."", ""It vibrates to help your hear sounds."", ""It is not as important as the femur because it’s small."", ""It is as big as a grain of rice.""]","[""It is not as important as the femur because it’s small.""]",Literal
55,4,4,"Unicorns are nice to look at. But they don’t seem so pretty when they’re charging at you horn first!
",55,3.0,1,What is this passage about?,"[""Pretty creatures"", ""Unicorns"", ""Horns"", ""Charging creatures""]","[""Unicorns""]",Literal
55,4,4,"Unicorns are nice to look at. But they don’t seem so pretty when they’re charging at you horn first!
",55,3.0,1,True or False: The author says that unicorns may charge at people. ,"[""True"", ""False""]","[""True""]",Literal
56,11,4,"As Hannah watched, the beam of light moved across the room. When it touched the bed, her sister started to rise into the air.
",56,3.0,1,"True or False: In this scene, Hannah takes action to try to save her sister. ","[""True"", ""False""]","[""False""]",Literal
58,5,4,"The bird’s wings healed and it flew off home. And it lived flappily ever after.
",58,3.0,1,What happens in this passage?,"[""The bird's wing heals."", ""The bird runs around on a rooftop."", ""The bird heals its own wing."", ""The bird is sick in its nest.""]","[""The bird's wing heals.""]",Literal
62,7,4,"The dollhouse sat alone on the sidewalk corner. Jamal got off his bike and walked towards it. There was no moon that night and it was dark. The <i>tik-tik-tik</i> of the bike wheel was the only sound on the street.

The house had only three sides so that he could look right into it. It had three floors and lots of little rooms. The outside was dirty and scratched but the inside was shiny and looked brand new. Jamal had never played with a dollhouse before. He leaned in closer to look at the little kitchen and the little bedroom. He liked the tiny lamps. He liked the tiny fridge with the even tinier fridge magnets. He slowly reached out a finger to touch a tiny milk jug– but then he heard people whispering. He turned quickly but saw no one. He was alone on the street. 

Jamal turned back towards the dollhouse. One of the tiny lamps was glowing with a soft, yellow light. Had that light been on before? The whispering began again. Suddenly Jamal wanted to have this dollhouse more than anything in the world. He needed to have it. It was his.
",62,3.0,1,Where did Jamal find the dollhouse?,"[""In the middle of the street"", ""On the sidewalk corner"", ""Under the moon"", ""On his bike""]","[""On the sidewalk corner""]",Literal
62,7,4,"The dollhouse sat alone on the sidewalk corner. Jamal got off his bike and walked towards it. There was no moon that night and it was dark. The <i>tik-tik-tik</i> of the bike wheel was the only sound on the street.

The house had only three sides so that he could look right into it. It had three floors and lots of little rooms. The outside was dirty and scratched but the inside was shiny and looked brand new. Jamal had never played with a dollhouse before. He leaned in closer to look at the little kitchen and the little bedroom. He liked the tiny lamps. He liked the tiny fridge with the even tinier fridge magnets. He slowly reached out a finger to touch a tiny milk jug– but then he heard people whispering. He turned quickly but saw no one. He was alone on the street. 

Jamal turned back towards the dollhouse. One of the tiny lamps was glowing with a soft, yellow light. Had that light been on before? The whispering began again. Suddenly Jamal wanted to have this dollhouse more than anything in the world. He needed to have it. It was his.
",62,3.0,1,What happened when Jamal turned back towards the dollhouse? ,"[""One tiny lamp was suddenly on."", ""One bedroom door had opened."", ""Someone whispered in his ears."", ""All the tiny lamps turned on.""]","[""One tiny lamp was suddenly on.""]",Literal
64,8,4,"Adish stared hard at the classroom floor. The map said that the bag of stolen popsicles should be right here. “X” marks the spot. But nothing was there! Was it possible that the bag was hidden underground? Would he have to dig all the way under the school? Just then Adish heard a drip sound and a small red spot appeared on the floor tile. After a moment, a purple splat joined it. Adish lifted his head. He had found the missing popsicles!
",64,3.0,1,What was Adish looking for?,"[""A treasure map"", ""His pencil box"", ""His bag lunch"", ""A bag of popsicles""]","[""A bag of popsicles""]",Literal
65,11,4,"Logan’s parents had a very important job. They travelled to different planets to learn about the different people who lived on each one. They would stay long enough to write down all the facts, and then they would have to zoom off to another planet. 

	Logan hated it. ""Every time we go to a new planet, I have to learn all the jokes the kids have there. Then we move and I have to learn a bunch of new ones!” he complained. 

	Logan’s mom and dad looked at him seriously. ""Logan, I think I have an idea,” his dad said. 

	Now, Logan has a very important job. He writes down facts about each planet, just like his parents - but his facts are a little different. He is keeping track of all the jokes he learns! Now when he moves, he soon has all the kids on his new planet laughing. 

	""Tell us more!” they say. And Logan always does.
",65,3.0,1,"True or False:  In the beginning of the passage, Logan loves going to new planets and meeting new kids.","[""True"", ""False""]","[""False""]",Literal
67,4,4,"Marcus was walking through the forest singing to the butterflies. Suddenly, he heard a noise in the bushes behind him. He turned around to find the strangest creature he had ever seen. The creature looked sort of like a very small old man. It had thin limbs and pale greyish skin. Its head was wider than a normal person’s, and its large eyes were a deep, glittering purple. Oddly enough, the creature did not seem to walk on its feet. Its scrawny arms held up its body while its legs were crossed and twisted like a pretzel behind its head. But strangest of all were the toenails growing from those feet: they were yellow, and jagged, and so long that they curled into spirals at the ends!

“What are you lookin’ at?” the thing growled at Marcus.

“Nothing!” Marcus replied at once. “I’ve just never seen a creature like you before.”

“Oh yeah?” it said. “We’re a rare kind. The world can’t handle too much of a beautiful thing, you know.” It carefully dug around in one nostril with the tip of a gnarled toenail.

“I...I guess not.” said Marcus. He turned to leave.

“You can call me Teegy,” the creature said, shuffling towards Marcus. He proudly extended a filthy, lumpy foot. (Marcus was relieved it wasn’t the foot with the booger still hanging off the end.) “Teegy of the Geegersneegers.”

Marcus looked at the foot and swallowed. A bad, sweet smell like rotting fruit was coming from it. Still, he took the foot in his hand and shook it, trying to smile. “Um, it’s nice to meet you, Teegy. I’m Marcus the Wanderer.”
",67,3.0,1,What was Marcus doing in the forest?,"[""He was hunting deer with his father."", ""He was trying to prove whether or not geegersneegers are real creatures."", ""He was picking up litter."", ""He was singing to the butterflies.""]","[""He was singing to the butterflies.""]",Literal
72,2,4,"Have you ever heard an elephant sing? Of course you haven’t! That’s because while they <i>do</i> sing, it’s too low for us to hear! Elephants sing just like people do. They blow air through a voice box in their throat to make sounds. The sound that comes out is a rumble so low that human ears can’t hear it. If only we had big floppy ones like them!

Elephants sing to each other for different reasons. They sing to each other to keep the herd together. They sing to find each other if they have gotten lost. They even sing to find mates! I think humans do that last one too… Do you think elephants like karaoke? 
",72,3.0,1,Which of these details is NOT important enough to include in a summary of the passage?,"[""The sound elephants make is too low for human ears."", ""Elephants may possibly like karaoke."", ""Elephants sing to find mates and communicate."", ""Elephants sing to each other to stay together and to find each other.""]","[""Elephants may possibly like karaoke.""]",Inferential
72,2,4,"Have you ever heard an elephant sing? Of course you haven’t! That’s because while they <i>do</i> sing, it’s too low for us to hear! Elephants sing just like people do. They blow air through a voice box in their throat to make sounds. The sound that comes out is a rumble so low that human ears can’t hear it. If only we had big floppy ones like them!

Elephants sing to each other for different reasons. They sing to each other to keep the herd together. They sing to find each other if they have gotten lost. They even sing to find mates! I think humans do that last one too… Do you think elephants like karaoke? 
",72,3.0,1,"If you had to summarize this passage with only a single keyword, which one would you select?","[""Sing"", ""Ears"", ""Rumble"", ""Karaoke""]","[""Sing""]",Inferential
75,10,4,"Moira let her legs dangle off the wooden bench and started swinging them back and forth. Her toe accidentally kicked the wall of the bus shelter. It made a soft <i>thunk</i>. She did it again and added in the second foot. <i>Thunk thunk</i>. She began tapping them back and forth, building up a rhythm until she heard a small cough from beside her. 

The only other person at the bus stop was a man with a newspaper. He looked old, like her daddy, but not as old as Grandpa. He was wearing an expensive suit with dark striped pants. As Moira looked at him he gave her a stern look over his newspaper. He didn’t say anything but eventually turned the page and went back to his reading.

“What are you waiting for, Mister?” Moira asked him.

“I beg your pardon, young lady?” he replied.

“I’m just wondering what you’re waiting for,” she said. “It’s a real hot day to just be sitting around in the sun like this. Like, just for fun or something.” 

“This is a bus stop,” he said, keeping his eyes on his newspaper. “I am waiting for the bus.”

Moira stopped staring at him and started pulling at a loose thread on her dress. “It just looks to me like you might be some kind of rich, fancy type of business person or something. People like that don’t usually take the bus.”

The man folded his paper down and looked at her. “Young lady, did you know that it’s rude to ask how much money someone has?”

“I wasn’t asking!” Moira replied, trying to look shocked. “I just said what it <i>looks</i> like, and I think I’m right. Anyway, all I really meant was that you can wait for all kinds of stuff at a bus stop. Just because busses stop here doesn’t mean that nothing else does.”

The man considered this. “Yes, I suppose you’re right. What are you waiting for, then?” he asked.

“Well,” Moira said, standing up and shading her eyes with her hand, “I’m waiting for an adventure!”
",75,3.0,1,Why is Moira at the bus stop?,"[""To speak to the man in the expensive coat."", ""To go to school."", ""To go on an unknown adventure."", ""To go home.""]","[""To go on an unknown adventure.""]",Literal
76,7,6,"Ever since Eli was a little boy, he knew about the house at the end of the lane. ""If you keep being naughty, you’re going to wind up in the house at the end of the lane,” his Oma would say, when he knocked over her paint pots. ""Where did you come from - the house at the end of the lane?” his Opa would say, if Eli ran too fast and bumped into him. And once, late at night before Eli went back home from Oma and Opa’s house, his Oma said quietly, ""Your mother went to the house at the end of the lane, you know. And she never came back.”

""That’s silly, Oma!” said Eli. ""She’s picking me up tomorrow at the airport!”

""Of course, my pet,” said his Oma, and she hugged him tight and sent him to bed. The next day at the airport, Eli looked into his mother’s dark eyes, but everything seemed normal. His mother smiled her sharp-toothed smile and hugged him tight and took him home, and Eli forgot all about it.

The next summer when he was back at his Oma and Opa’s, it was a hot, boring day and Eli felt restless. He answered rudely when his Opa asked him a question, and shrugged when his Oma asked if he’d like to watch her paint. ""What is this, the house at the end of the lane?” his Oma said. ""I think you need to go play outside.” She pinched his cheek, so Eli knew she wasn’t really angry, but it just made him more annoyed. He slammed the door as he left, and scuffed his feet in the dirt behind the apartment building. When he looked up, he saw the house.

It was at the end of the lane, just like he’d been told. There were boards across the windows and the door creaked as he opened it. Inside, it was cool and dark and very quiet. There was a long hallway, with closed doors all along it. When Eli walked down it, his feet left footprints in the dust. At the end of the hallway was a tall mirror.

""I’m not afraid,” Eli said out loud. He reached a hand up and wiped the dust off the mirror. His reflection stared out at him. Then he saw a dark shape over his shoulder. Before he could turn around, he felt a strong push on his back, and he fell headfirst towards the mirror.

Eli scrambled to his feet. He was on the other side of the mirror, trapped in a tall box. Standing in the hallway looking in at him was his reflection - but something was different. Eli slapped his hand on the mirror, and his reflection didn’t move. He shouted, and his reflection smiled. It had dark eyes and pointy teeth. It turned and walked down the hallway, through the door and out into the light.
",76,3.0,1,What happens when Eli goes to the house at the end of the lane?,"[""He gets trapped in a tall box and his reflection takes his place in the world."", ""He gets scared by his reflection and runs away."", ""He sees his mom."", ""He finds his Oma's secret clubhouse.""]","[""He gets trapped in a tall box and his reflection takes his place in the world.""]",Literal
77,11,4,"The aliens and the humans had lived in peace for hundreds of years. That is– until the Great Food Fight of 3015.
",77,3.0,1,True or False: The aliens and the humans lived in peace before the year 3015.,"[""True"", ""False""]","[""True""]",Literal
78,11,4,"Jose giggled. The aliens looked just like his drawings, tin-foil hats and all!
",78,3.0,1,True or False: Jose giggled because the aliens liked his drawings. ,"[""True"", ""False""]","[""False""]",Literal
80,8,4,"Ezra cornered Jasmine near the skipping ropes at recess. He was determined to find out who had been messing with the class goldfish, Mr. Pondscum. He wasn’t sure that Jasmine was the culprit, but something smelled fishy!

“Did you put blue food coloring in the goldfish bowl yesterday morning?” he asked.

“No,” Jasmine replied. “Why would I do something stupid like that?”

“I don’t know,” Ezra said, pacing back and forth in front of her. “Maybe because Mr. Pondscum saw you pick your nose that one time. Maybe because you didn’t get to name him ‘Sir Swimmy Fins’ like you wanted. Or maybe because you just don’t like fish.”

“You’re crazy,” Jasmine said. “I don’t care about that fish one way or the other. Him or his ugly name. As far as I’m concerned he is just another decoration in the classroom.”

“Then maybe you think the classroom could do with a bit more blue in it?” Ezra asked, leaning in close.

“No, that’s not what I mean. I mean that I don’t really like Mr. Pondscum that much, but I don’t want anything bad to happen to him either. I’m sure he’s very upset that he’s been turned all blue.” She paused. “It’s not a good color for him.” And with that Jasmine walked off into the playground. Ezra watched her go and knew he had to track down some more clues.
",80,3.0,1,Which of the following is NOT one of the reasons why Ezra suspected Jasmine of coloring the goldfish tank with blue food coloring?,"[""Ezra believes Mr.Pondscum once saw Jasmine pick her nose."", ""Jasmine did not get to name the goldfish \""Sir Swimmy Fins.\"""", ""Ezra believes Jasmine doesn't like fish."", ""Ezra knows blue is Jasmine's favorite color.""]","[""Ezra knows blue is Jasmine's favorite color.""]",Literal
80,8,4,"Ezra cornered Jasmine near the skipping ropes at recess. He was determined to find out who had been messing with the class goldfish, Mr. Pondscum. He wasn’t sure that Jasmine was the culprit, but something smelled fishy!

“Did you put blue food coloring in the goldfish bowl yesterday morning?” he asked.

“No,” Jasmine replied. “Why would I do something stupid like that?”

“I don’t know,” Ezra said, pacing back and forth in front of her. “Maybe because Mr. Pondscum saw you pick your nose that one time. Maybe because you didn’t get to name him ‘Sir Swimmy Fins’ like you wanted. Or maybe because you just don’t like fish.”

“You’re crazy,” Jasmine said. “I don’t care about that fish one way or the other. Him or his ugly name. As far as I’m concerned he is just another decoration in the classroom.”

“Then maybe you think the classroom could do with a bit more blue in it?” Ezra asked, leaning in close.

“No, that’s not what I mean. I mean that I don’t really like Mr. Pondscum that much, but I don’t want anything bad to happen to him either. I’m sure he’s very upset that he’s been turned all blue.” She paused. “It’s not a good color for him.” And with that Jasmine walked off into the playground. Ezra watched her go and knew he had to track down some more clues.
",80,3.0,1,What was Ezra trying to do?,"[""Skip rope"", ""Find out who put blue food coloring in the fish bowl"", ""Be friends with Jasmine"", ""Choose a new name for the class pet""]","[""Find out who put blue food coloring in the fish bowl""]",Literal
82,5,4,"“I will love you forever and always, my darling!” said the Prince. 

“Urghh gughhh ugguhguggh,” his true love replied.
",82,3.0,1,Who is the Prince speaking to?,"[""Himself"", ""Nobody"", ""A monster"", ""His true love""]","[""His true love""]",Literal
83,8,4,"“What can you see?” Zach whispered to Bradley. Bradley was standing on Zach’s shoulders peeking into a house window.

“Um, nothing yet,” Bradley said quietly. “It’s pretty dark in there.”

“Well, you better hurry up! You aren’t exactly light as a feather, you know.”

“I don’t know about this, Zach,” Bradley said. “What if the old man never did anything? Then we’re just spying on him like creeps!”

“If you want to get out of here, that’s fine by me. I don’t think I can hold your big butt up much longer anyway.”

But just then Bradley did see something inside the house. A light began flickering up the wall like it was being reflected by a mirror. Bradley leaned in closer. He grabbed onto the windowsill with both arms and pressed his nose against the glass. The spot of light on the wall was growing bigger and bigger. It was turning from yellow to pink to green.

Just then the old man’s face appeared in the light! He was staring right at Bradley! Bradley screamed and Zach fell over. But Bradley was left hanging off the windowsill!
",83,3.0,1,Why were Zach and Bradley spying on the old man?,"[""They thought he had done something."", ""They were curious to see what he does at his house."", ""They wanted to see his dog."", ""They saw a mirror in the house.""]","[""They thought he had done something.""]",Literal
